satno,cosparId,name,objectClass,mass,shape,width,height,depth,diameter,span,xSectMax,xSectMin,xSectAvg,firstEpoch,mission,predDecayDate,active,cataloguedFragments,onOrbitCataloguedFragments
51096.0,2022-003C,PAN B,Payload,4.0,Box,0.1,0.3,0.1,,0.3,0.04358898943540674,0.010000000000000002,0.035,2022-01-14,Amateur Technology,,,0,0
47543.0,2021-006ED,Flock 4s-1,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-02-01,Commercial Imaging,,,0,0
52189.0,2022-033AJ,KSF2-C,Payload,10.0,Box,0.2,0.3,0.2,,0.3,0.09380831519646861,0.04000000000000001,0.08,2022-04-15,Commercial Sigint,,,0,0
57962.0,2023-150A,Noor 3,Payload,15.0,Box + 3 Pan,0.2,0.3,0.2,,0.6,0.19011532428718853,0.04000000000000001,0.11560000000000001,2023-09-27,Defense Imaging,,,0,0
51049.0,2022-002BT,Flock 4x-11,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
47962.0,2021-022AG,STECCO,Payload,1.0,Box,0.05,0.33,0.05,,0.33,0.023468063405402678,0.0025000000000000005,0.017750000000000002,2021-04-05,Amateur Calibration,,,0,0
48966.0,2021-059CR,Neptuno,Payload,4.0,Box,0.1,0.3,0.1,,0.5,0.04358898943540674,0.010000000000000002,0.035,2021-08-01,Commercial Sigint,,,0,0
59872.0,2024-098Q,Starlink 31944,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2024-05-31,Commercial Communications,,,0,0
45050.0,2020-006G,Starlink 1140,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-02-08,Commercial Communications,,,0,0
55394.0,2023-014D,Starlink 5230,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2023-02-07,Commercial Communications,,,0,0
46279.0,2020-061H,SIMBA,Payload,4.0,Box + 2 Pan,0.1,0.3,0.1,,,0.0839,0.01,0.0505,2020-09-11,Civil Science,,,0,0
44860.0,2019-089J,Lemur-2 HiMomAndDad,Payload,4.6,Box + 2 Pan,0.1,0.3,0.1,,0.7,0.226,0.0246,0.124141176470588,2019-12-12,Commercial Com/MetRO,,,0,0
47360.0,2021-005M,Starlink 2070,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-01-25,Commercial Communications,,,0,0
58961.0,2024-029A,Progress MS-26,Payload,7428.0,Cyl + Sphere + Cone + 2 Pan,,7.9,,2.7,7.9,22.085082130326025,5.725552611167399,19.615319130851272,2024-02-18,Civil Spaceship,,,0,0
52194.0,2022-033AP,KSF2-A,Payload,10.0,Box,0.2,0.3,0.2,,0.3,0.09380831519646861,0.04000000000000001,0.08,2022-05-16,Commercial Sigint,,,0,0
48456.0,2021-040AE,Starlink 2508,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-05-17,Commercial Communications,,,0,0
55013.0,2023-001E,Lemur-2 PhilAri,Payload,4.6,Box + 2 Pan,0.1,0.3,0.1,,0.7,0.09198898943540676,0.010000000000000002,0.053533333333333336,2023-01-18,Commercial Com/MetRO,,,0,0
48448.0,2021-040W,Starlink 2632,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-05-16,Commercial Communications,,,0,0
614.0,1963-025B,Hitch-hiker 1,Payload,126.0,Box,0.9,0.3,0.9,,0.9,0.895488693395958,0.27,0.675,1963-06-27,Civil Science,,,0,0
48841.0,2021-050B,Yangwang 1,Payload,42.0,Box + 2 Pan,0.3,0.5,0.3,,0.5,0.23043437243605824,0.09,0.195,2021-06-11,Commercial Astronomy,,,0,0
59518.0,2024-073H,Starlink 31672,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2024-04-22,Commercial Communications,,,0,0
48147.0,2021-027BH,Starlink 2490,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-04-13,Commercial Communications,,,0,0
56207.0,2023-054AF,Pleiades Yearling,Payload,1.0,Box,0.1,0.1,0.1,,0.1,0.017320508075688777,0.010000000000000002,0.015000000000000003,2023-04-18,Amateur Technology,,,0,0
51040.0,2022-002BJ,Flock 4x-21,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
56216.0,2023-054AQ,ELO 3,Payload,12.0,Box + 2 Pan,0.2,0.3,0.1,,0.4,0.10222173179703414,0.020000000000000004,0.0674,2023-06-26,Commercial Communications,,,0,0
48697.0,2021-044BM,Starlink 2715,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-06-01,Commercial Communications,,,0,0
46312.0,2020-061AS,TTU100,Payload,1.0,Box + 2 Pan,0.1,0.1,0.1,,,0.0335,0.01,0.0215,2020-09-30,Amateur Imaging,,,0,0
59508.0,1998-067WH,Kashiwa,Payload,1.0,Box,0.1,0.1,0.1,,0.1,0.017320508075688777,0.010000000000000002,0.015000000000000003,2024-04-12,Amateur Communications,,,0,0
39770.0,2014-029E,SPROUT,Payload,7.1,Box + 1 Sail,0.2,0.2,0.2,,1.5,0.0692820323027551,0.04000000000000001,0.06000000000000001,2014-05-24,Amateur Technology,,,0,0
37851.0,2011-061B,DICE-1,Payload,2.0,Box + 4 Ant + 2 Rod,0.1,0.15,0.1,,10.0,2.013331472129276,0.010000000000000002,0.7473333333333335,2011-10-28,Amateur Science,,,0,0
46368.0,2020-062AV,Starlink 1658,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-09-09,Commercial Communications,,,0,0
45193.0,2020-012R,Starlink 1239,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-02-24,Commercial Communications,,,0,0
59461.0,2024-068G,Starlink 31482,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2024-04-15,Commercial Communications,,,0,0
45691.0,2020-035AL,Starlink 1415,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-06-11,Commercial Communications,,,0,0
49764.0,2021-115AS,Starlink 3206,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-12-08,Commercial Communications,,,0,0
53454.0,2022-098L,Jilin-1 Hongwai A03,Payload,42.0,Box + 2 Pan,1.0,1.5,1.0,,1.5,2.345207879911715,1.0,2.0,2022-08-10,Commercial Imaging,,,0,0
59935.0,2024-106P,Starlink 31301,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2024-06-07,Commercial Communications,,,0,0
48248.0,2021-033A,Zhongan Guotong 1,Payload,37.0,Box + 2 Pan,1.0,1.0,1.0,,1.0,1.7320508075688772,1.0,1.5,2021-04-27,Commercial Imaging,,,0,0
44931.0,2020-001T,Starlink 1128,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-01-13,Commercial Communications,,,0,0
45059.0,2020-006R,Starlink 1165,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-02-08,Commercial Communications,,,0,0
55710.0,2023-026R,Starlink 30046,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2023-03-01,Commercial Communications,,,0,0
45019.0,2020-003D,Tianqi-5,Payload,40.0,Box,0.3,0.5,0.3,,0.5,0.23043437243605824,0.09,0.195,2020-01-15,Commercial Communications,,,0,0
